date,daily_vaccinations,people_fully_vaccinated
2020-12-30,,
2020-12-31,62.0,
2021-01-01,62.0,
2021-01-02,62.0,
2021-01-03,62.0,
2021-01-04,62.0,
2021-01-05,62.0,
2021-01-06,62.0,
2021-01-07,62.0,
2021-01-08,62.0,
2021-01-09,62.0,
2021-01-10,62.0,
2021-01-11,62.0,
2021-01-12,114.0,
2021-01-13,177.0,
2021-01-14,220.0,
2021-01-15,236.0,
2021-01-16,252.0,
2021-01-17,268.0,
2021-01-18,375.0,
2021-01-19,417.0,
2021-01-20,475.0,
2021-01-21,523.0,
2021-01-22,558.0,
2021-01-23,592.0,
2021-01-24,626.0,
2021-01-25,569.0,1245.0
2021-01-26,604.0,1245.0
2021-01-27,608.0,1342.0
2021-01-28,639.0,1483.0
2021-01-29,630.0,
2021-01-30,622.0,
2021-01-31,613.0,1680.0
2021-02-01,670.0,1905.0
2021-02-02,675.0,2327.0
2021-02-03,708.0,2810.0
2021-02-04,721.0,3163.0
2021-02-05,728.0,
2021-02-06,736.0,
2021-02-07,743.0,3688.0
2021-02-08,700.0,4050.0
2021-02-09,629.0,4426.0
2021-02-10,645.0,4871.0
2021-02-11,710.0,5259.0
2021-02-12,724.0,
2021-02-13,738.0,
2021-02-14,752.0,5638.0
2021-02-15,841.0,5969.0
2021-02-16,1038.0,6296.0
2021-02-17,1028.0,6514.0
2021-02-18,1078.0,7080.0
2021-02-19,1104.0,
2021-02-20,1130.0,
2021-02-21,1156.0,7726.0
2021-02-22,1129.0,8241.0
