date,daily_vaccinations,people_fully_vaccinated,vaccines
2020-12-28,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-29,712.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-30,1800.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-31,2741.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-01,2398.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-02,2235.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-03,1922.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-04,3349.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-05,5547.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-06,7555.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-07,9444.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-08,11579.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-09,12723.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-10,13528.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-11,14240.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-12,14120.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-13,13673.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-14,13030.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-15,12995.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-16,13398.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-17,13824.0,875.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-18,15721.0,1951.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-19,18514.0,2622.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-20,22017.0,5814.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-21,25783.0,9844.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-22,28895.0,11255.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-23,31828.0,12879.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-24,34461.0,13156.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-25,35627.0,25064.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-26,36905.0,40667.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-27,37474.0,57275.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-28,37329.0,75050.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-29,37295.0,92076.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-30,36216.0,101305.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-31,35019.0,106197.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-01,33793.0,123049.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-02,31479.0,138349.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-03,28785.0,152026.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-04,26486.0,165516.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-05,24936.0,182666.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-06,24059.0,193122.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-07,23558.0,200145.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-08,24309.0,230286.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-09,25918.0,263213.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-10,28395.0,299519.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-11,30661.0,334188.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-12,32464.0,369465.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-13,34755.0,400750.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-14,36808.0,427341.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-15,37109.0,454169.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
